query_id,query,query_type,label
67,What is the image and coordinate location of the entity located in the administrative territorial entity Avebury?,opts,-1
68,What is the administrative territorial entity in which Avebury is located?,opts,-1
69,What are the communes in France located in the Territoire de Belfort and which communes share a border with them?,opts,-1
70,What palaces are located in Genoa?,opts,-1
71,Which parks are located in the administrative territorial entity of Dublin?,opts,-1
72,What cathedrals are located in Dublin?,opts,-1
73,What are the names and elevations above sea level of mountains located in North Sumatra?,opts,-1
74,"What are some mountains located in the administrative entity of North Sumatra, and what is their elevation above sea level, if available?",opts,-1
75,What French communes are located within the administrative territorial entity of Cher and share a border with another commune of France?,opts,-1
76,"What is the local dialing code for cities located in Latvia and the country calling code for Russia, and what is the OpenStreetMap relation ID for these cities?",opts,-1
77,What mosques are located in Amsterdam?,opts,-1
78,What streets located in administrative territorial entities named after women in France?,opts,-1
79,What streets in Japan are named after female humans and located in administrative territorial entities?,opts,-1
80,What streets in Spain are located in an administrative territorial entity named after a female human?,opts,-1
81,What female-named streets in Argentina are located in administrative territorial entities named after humans?,opts,-1
82,What female-named streets located in administrative territorial entities named after humans are in Argentina?,opts,-1
83,"What administrative territorial entity is a Narrenzunft located in, and what are its coordinates?",opts,-1
84,What administrative territorial entity is a Narrenzunft located in?,opts,-1
85,What are the communes in Brittany where the mayor holds a position in France?,opts,-1
86,What race tracks are located in administrative territorial entities that are located in other administrative territorial entities?,opts,-1
87,What participants are associated with the 2017 Asian Athletics Championships and do they have images available?,opts,-1
88,What are the countries of origin for simulation video games?,opts,-1
89,What are the headquarters location coordinates for the developers of simulation video games?,opts,-1
90,What are the developers and their respective countries of simulation video games on Wikidata?,opts,-1
91,"What are the simulation video games and their developers, along with their respective countries and coordinate locations?",opts,-1
92,What are the developers of simulation video games and where are they located?,opts,-1
93,"Which action films have main subjects, publication dates, directors, and cast members in Wikidata?",opts,-1
94,"What action films are the main subjects, publication dates, directors, cast members, screenwriters, and producers of?",opts,-1
95,"What are some details about horror films including their main subject, publication date, director, cast members, screenwriters, and producers?",opts,-1
96,"What are some details about horror films, such as their main subject, publication date, director, cast members, screenwriters, producers, and characters?",opts,-1
97,"What are the main subjects, publication dates, directors, cast members, screenwriters, producers, and characters of thriller films?",opts,-1
98,What are the video games that belong to the genre of strategy video games?,opts,-1
99,What heavy metal musical groups from Finland have formed in a specific location?,opts,-1
100,Which heavy metal bands from Finland have a known location of formation?,opts,-1
101,"What are the musical groups in Finland that belong to the heavy metal genre, and where were they formed?",opts,-1
102,What are the genres of movies with optional IMDb IDs available on Wikidata?,opts,-1
103,Which heavy metal musical groups from Finland have a country of origin in Finland and what are their genres?,opts,-1
104,What are the different genres of music associated with heavy metal bands from Finland and where are their coordinates located?,opts,-1
105,What are some heavy metal bands from Finland and where were they formed?,opts,-1
106,What is the volume and issue of the publication that was published in a certain time period?,opts,-1
107,"What publications have been published in a specific issue and volume, and optionally include the ISSN and page numbers?",opts,-1
108,"What are the declared national monuments with their corresponding images, Commons category, instance of, located in administrative territorial entity, and coordinate location?",opts,-1
109,"What are the instances of heritage sites designated as World Heritage Sites, and can you provide their coordinate locations if available?",opts,-1
110,"What are the heritage designations and coordinate locations of items in Wikidata, along with their optional country information?",opts,-1
111,Which incorporated educational institutions have legal form and what are their Corporate Numbers in Japan and countries?,opts,-1
112,"What is the publication date of the document titled ""Paradise Papers""?",opts,-1
113,What scholarly articles have a title and optionally an image?,opts,-1
114,What movies have Bud Spencer appeared in and do they have images available?,opts,-1
115,"Which countries contain administrative territorial entities, are situated on which continent, and may have a locator map image for their continent, country, administrative territorial entity, capital city, and a capital city that is classified as a city?",opts,-1
116,"What countries have administrative territorial entities and what are their corresponding details, such as locator map images, flag images, and capitals?",opts,-1
117,What are the GeoNames IDs of locations in India and in which administrative territorial entity are they located?,opts,-1
118,What are the Instagram usernames of female individuals with a specified property on Wikidata?,opts,-1
119,Which females have an Instagram account and what is their instance of?,opts,-1
120,Which female Instagram users have a specific property in Wikidata related to their Instagram accounts?,opts,-1
121,What is the Alexa rank of websites with an instance of a website and what is their official website (if available)?,opts,-1
122,Which books have authors who have received the Nobel Prize in Literature?,opts,-1
123,"What image, collection, inception date, and inventory number are associated with artworks created by Georges Kars?",opts,-1
124,What artworks were created by Gian Lorenzo Bernini and in which collections are they part of?,opts,-1
125,What are the works created by Gian Lorenzo Bernini and in what locations are they located (if available)?,opts,-1
126,What are the collections associated with artworks created by Artemisia Gentileschi?,opts,-1
127,"Which items have been created by Wassily Kandinsky, and what images and locations are associated with them?",opts,-1
128,"What are the images of taxa that are part of the taxonomic group Lagomorpha, along with their nested taxa and images, if available?",opts,-1
129,What are the images of species within the taxonomic group Lagomorpha and their respective higher taxonomic levels?,opts,-1
130,"What images are available for species that belong to the taxonomic group Sciuromorpha and their respective parent taxa, if applicable?",opts,-1
131,What images are available for species that belong to the taxonomic group Sciuromorpha and their parent taxa?,opts,-1
132,What are the images of organisms that belong to a taxonomic group with a parent taxon of Lagomorpha and their ancestors?,opts,-1
133,What are the names of female Arabs and where were they born?,opts,-1
134,"What are the dates and birthplaces of female individuals who belong to the ethnic group ""Arabs"" in Wikidata?",opts,-1
135,"What is the GTAA ID, award received, and point in time for a certain entity?",opts,-1
136,"What is the GTAA ID, award received, point in time, sex or gender, birth name, pseudonym, date of birth, place of birth, date of death, place of death, and occupation of the entity with given properties?",opts,-1
137,What are the manufacturer and image (if available) of automobile models on Wikidata?,opts,-1
138,What is the geographical location and additional information about a person's birth using their identifier and which may include their date of birth and image if available on Wikidata?,opts,-1
139,"What is the ID, place of birth, date of birth, image, and coordinates of a person or entity in Wikidata?",opts,-1
140,"Which entities are developed by Microsoft and what are their corresponding logo images, official websites, and official blog URLs (if available)?",opts,-1
141,"What are the television series episodes of ""The X-Files"" that have a director and, optionally, a date of first performance?",opts,-1
142,What are the various IDs and characteristics associated with a series on Wikidata?,opts,-1
143,"What are the places of birth of humans from Cameroon, along with their optional dates of birth, dates of death, and images if available?",opts,-1
144,"What are the places of birth of people who are associated with the country Cameroon, and what are their dates of birth and death, and if available, what are their images?",opts,-1
145,What are the museums in France that have images on Wikidata?,opts,-1
146,What countries share a border with France?,opts,-1
147,"Which railway stations are located in the United Kingdom and what are their adjacent stations, if applicable?",opts,-1
148,"What are the IDs of the cultural heritage sites in Brazil, along with their locations and other optional information such as administrative territorial entities, coordinates, and images?",opts,-1
149,What are the local dialing codes for cities in Russia and what is the country calling code for Russia?,opts,-1
150,What is the local dialing code for cities in Russia?,opts,-1
151,"What are the human settlements in Russia, along with their geographic coordinates and population information (if available)?",opts,-1
152,"What are the human settlements in Russia, and what are their population sizes and coordinates, if available?",opts,-1
153,What weather stations are located in Canada?,opts,-1
154,"What are the businesses in Germany, along with information about their subsidiaries, industry, number of employees, total revenue, total assets, and ISNI numbers?",opts,-1
155,What is the local dialing code of cities in Germany and the corresponding country calling code for Russia?,opts,-1
156,What are the areas of countries Germany and Portugal?,opts,-1
157,What are some sandwiches that are associated with Germany and do they have any images available?,opts,-1
158,What are the administrative territorial entities within the districts of Germany?,opts,-1
159,What is the national flag image of Germany?,opts,-1
160,What cities are located in Belarus?,opts,-1
161,What cities are located in Belarus and what are their populations?,opts,-1
162,What museums in Norway have images available in Wikidata?,opts,-1
163,What museums are located in Norway?,opts,-1
164,What are the educational institutions in Ukraine?,opts,-1
165,What are the remarkable trees located in the Czech Republic and their corresponding administrative territorial entities?,opts,-1
166,"Which remarkable trees located in Czech Republic have information on their country, administrative territorial entity, and their parent administrative territorial entity in Wikidata?",opts,-1
167,What vocational schools are located in Hungary and when were they established?,opts,-1
168,What vocational schools are located in Hungary and when were they founded?,opts,-1
169,Which gymnasiums located in Hungary have their coordinate locations available on Wikidata?,opts,-1
170,What gymnasiums are located in Hungary?,opts,-1
171,Which political parties in Hungary have a chairperson and an inception date on Wikidata?,opts,-1
172,"What mass shootings have occurred in the United States of America, and what are their corresponding coordinates, number of deaths, and dates?",opts,-1
173,"What association football clubs are located in Poland, and in which administrative territorial entities are they situated?",opts,-1
174,Which association football clubs in Poland have headquarters with coordinate locations in Wikidata?,opts,-1
175,What airports are located in Italy and what countries are they located in (if applicable)?,opts,-1
176,What association football venues are located in Argentina and what are their coordinates?,opts,-1
177,What are the details of the mountain in Nepal?,opts,-1
178,"What are the country, IATA airline designator, ICAO airline designator, ISO 3166-1 alpha-2 code, instance of airline, callsign of airline, airline hub, official website, and owner of each airline?",opts,-1
179,"What are the countries of the headquarters locations of video game developers, and where are these countries geographically located?",opts,-1
180,What are the countries where universities are located along with their ISO 3166-1 alpha-2 codes?,opts,-1
181,Which zoos keep polar bears and in which countries are they located?,opts,-1
182,"What country are Formula One athletes, their places of birth, and optional additional places of birth from?",opts,-1
183,What are the cities that have airports with their corresponding country and coordinates on Wikidata?,opts,-1
184,"What country is the member of the German Bundestag from, and what is their date of birth and political party (if available)?",opts,-1
185,"What are the countries of the entities in Wikidata along with their IPv4 routing prefixes and IPv6 routing prefixes, if available?",opts,-1
186,"What are the countries, nationalities, and demonyms associated with entity ?x1 in wikidata?",opts,-1
187,What are the countries with their corresponding IPv4 and IPv6 routing prefixes in Wikidata?,opts,-1
188,What is the Early Modern Letters Online person ID and image of individuals who are members of the Royal Society?,opts,-1
189,What is the Early Modern Letters Online person ID for each person and do they have images available?,opts,-1
190,"What is the Early Modern Letters Online person ID, image, and occupation of the entities in Wikidata?",opts,-1
191,Which humans are investigated by the Art Looting Investigation Unit and are there images available for them?,opts,-1
192,"What are the images, place of birth, date of birth, and educated at information for individuals who were educated at Tel Aviv University and have a coordinate location?",opts,-1
193,What are some images of dog breeds available on Wikidata?,opts,-1
194,What are the images and names of dog breeds in Wikidata?,opts,-1
195,"What are the images associated with entities that are subclasses of ""computer worm"", with the option of including their names if they are named after any entity?",opts,-1
196,"What images are associated with items in Wikidata, and what additional properties do these items have?",opts,-1
197,What is the image and MMSI number of the entity?,opts,-1
198,What artworks are part of the collection of the Royal Museum of Fine Arts Antwerp and who are their creators?,opts,-1
199,What genres are included in the National Portrait Gallery collection?,opts,-1
200,What is the number of children of the Presidents of the United States and who are their spouses?,opts,-1
201,"What humans were born in Arnhem and what are their occupations, dates of birth, and places of death (with coordinates)?",opts,-1
202,What is the population of municipalities in Finland where people were born in Helsinki?,opts,-1
203,What is the place of birth and native language of Joyce who was born in the United States of America?,opts,-1
204,"What humans were born in Durango, and what are their coordinates, images (if available), and place of death (if available)?",opts,-1
205,What humans were born in Durango and have a coordinate location?,opts,-1
206,"What is the place of birth, place of death, date of death, date of birth, and coordinate location for individuals who were born in Amsterdam?",opts,-1
207,"Which female humans were born in a specific place with coordinates, their date of birth, and possibly an image available in Wikidata?",opts,-1
208,What is the place of birth and optionally the date of birth of humans in Wikidata?,opts,-1
209,"What is the place and date of birth of people born at Tel Aviv University, with their coordinates location and optional image?",opts,-1
210,What females born in Iceland have a place of birth and date of birth available in Wikidata?,opts,-1
211,Where were people born who were educated at Tel Aviv University and what is the coordinate location of that place?,opts,-1
212,"What are the usernames, names in native language, political party names, and official names of Members of Parliament on Wikidata?",opts,-1
213,Who are the humans who died on Mount Everest and what are their images and dates of death?,opts,-1
214,"What is the place of death, Catalogus Professorum Academiae Rheno-Traiectinae ID, image, date of birth, and place of birth for the specified entities?",opts,-1
215,What are the Museum of Modern Art artist IDs and coordinates of artists associated with museums and their places of birth when available in Wikidata?,opts,-1
216,"What are the Museum of Modern Art artist ID, coordinates, place of birth, place of death, work location, gender, date of birth, date of death, and Union List of Artist Names ID for a given artist?",opts,-1
217,What artists have works in the Museum of Modern Art and where are they located?,opts,-1
218,"What information do we have about artists who have a Museum of Modern Art artist ID, including their place of birth, place of death, sex or gender, Union List of Artist Names ID, date of birth, date of death, coordinate location, and work location?",opts,-1
219,"Which artists have a Museum of Modern Art artist ID and what is their place of birth, place of death, Union List of Artist Names ID, date of birth, date of death, coordinate location, and work location (if available)?",opts,-1
220,"What are the details of artists associated with the Museum of Modern Art, including their place of birth, place of death, work location, gender, date of birth, date of death, and Union List of Artist Names ID?",opts,-1
221,"What are the details of artists associated with the Museum of Modern Art, including their place of birth, place of death, sex or gender, date of birth, date of death, and Union List of Artist Names ID?",opts,-1
222,"What is the Museum of Modern Art artist ID, place of birth (including coordinate location), place of death (including coordinate location), work location (including coordinate location), sex or gender, date of birth, date of death, and Union List of Artist Names ID for each artist in Wikidata?",opts,-1
223,"What is the Museum of Modern Art artist ID for each artist, along with their work location and location?",opts,-1
224,"What are the Museum of Modern Art artist IDs and work locations of artists at the Museum of Modern Art, and what are the coordinate locations of their work locations, if available?",opts,-1
225,"What are the names, date of birth, date of death, and country of citizenship of female humans in Wikidata?",opts,-1
226,"What are the details of all female humans in Wikidata, including their family name, date of birth, date of death, and country of origin if available?",opts,-1
227,What is the date of birth and coordinates of women who were educated at the University of Edinburgh?,opts,-1
228,What are the occupations of females in Wikidata?,opts,-1
229,What is the Erdős number of females in Wikidata?,opts,-1
230,What are the occupations of male humans on Wikidata?,opts,-1
231,Who are the Roman emperors and their parents' information including date of birth?,opts,-1
232,"Who were the Roman emperors born to parents, including their fathers, mothers, and birth dates?",opts,-1
233,What is the CAS Registry Number of chemical compounds and their corresponding density (if available)?,opts,-1
234,What are the ICAO airport codes for airports?,opts,-1
235,"What are the various identifiers and attributes associated with the entity ""The Big Bang Theory"" in different databases and platforms?",opts,-1
236,"What are the names of the musical groups along with their official names, if available?",opts,-1
237,"What are the TED speaker IDs of humans, along with their occupations and the main category of their topics?",opts,-1
238,"What are the TED speaker IDs, sex or gender, country of citizenship, date of birth, and occupation of humans?",opts,-1
239,"What are the TED speakers who are human, and what are their TED speaker ID, gender, country of citizenship, date of birth, and occupation?",opts,-1
240,"What are the TED speakers' IDs, along with their gender, nationality, date of birth, occupation, and countries of citizenship?",opts,-1
241,"What are the TED speaker IDs, sex or gender, country of citizenship, date of birth, educated at institutions, countries educated in, and occupations of all human individuals in Wikidata?",opts,-1
242,"What are the TED speakers who are human, have a profession, and may have a specified gender, country of citizenship, date of birth, occupation, and country of citizenship of their profession?",opts,-1
243,What schools are located in Paris and do they have coordinate locations specified?,opts,-1
244,What are the characteristics of monarchs who are human?,opts,-1
245,What are the subcategories of the concept?,opts,-1
246,"What municipalities are subclasses of the superclass ""municipio"" in Wikidata and do they have coordinate locations?",opts,-1
247,"What are the instances of entities that are subclasses of computer worms, and do they have a name and an image associated with them?",opts,-1
248,"What are the subfields of science that are branches of science, including subfields of subfields?",opts,-1
249,What are the names of humans who are citizens of Cameroon and where were they born (including the administrative territorial entity)?,opts,-1
250,"What are the details of individuals who are citizens of Morocco, including their education at École Hassania des travaux publics, place of birth, date of birth, and image, as well as the coordinate location of their place of birth?",opts,-1
251,"What are the personal details and achievements of individuals who are citizens of the United States, including their field of work, place of birth, gender, academic degree, and educational background?",opts,-1
252,What are the names of humans who are citizens of Belgium?,opts,-1
253,What humans have citizenship in Switzerland and what are their birth and death dates if available?,opts,-1
254,What are the occupations of humans who are citizens of South Korea?,opts,-1
255,"What are the catalog IDs, images, dates of birth and death, and places of birth and death for professors of the University of Utrecht?",opts,-1
256,"What is the Catalogus Professorum Academiae Rheno-Traiectinae ID, image, date of birth, date of death, and place of birth with coordinate location of individuals in Wikidata?",opts,-1
257,What events occurred in March?,opts,-1
258,What Unix-like operating systems have a software version identifier and optionally an official website?,opts,-1
259,What countries are located in Europe?,opts,-1
260,Which countries have a continent with a corresponding flag image and locator map image available on Wikidata?,opts,-1
261,"Which locations offer a view, their coordinates, and optional images of the view?",opts,-1
262,What are the offers that provide a view on a specific topic and do they have corresponding images?,opts,-1
263,What are the family names along with their native labels and languages of work or name in Wikidata?,opts,-1
264,What is the population of districts in Germany?,opts,-1
265,What are the nicknames of chemical compounds?,opts,-1
266,"What are the titles of films that are also television series and what are their corresponding AlloCiné person ID, IMDb ID, AllMovie title ID, Freebase ID, MovieMeter film ID, Rotten Tomatoes ID, Open Media Database film ID, Netflix ID, Metacritic ID, and images?",opts,-1
267,"What are the original language, publication date, director, composer, and cast members of films?",opts,-1
268,"What are the titles of television series that are also films listed in databases like IMDb, AllMovie, and Rotten Tomatoes on Wikidata?",opts,-1
269,What films from France have been published and what are their publication dates?,opts,-1
270,What films are from Israel and when were they published?,opts,-1
271,"What are the publication date, IMDb ID, image, and director of films on Wikidata?",opts,-1
272,"What are the details of films, such as publication date, IMDb ID, image, director, genre, cast members, and title, that are instances of a film on Wikidata?",opts,-1
273,"What are the publication dates, IMDb IDs, directors, genres, cast members, and titles of films?",opts,-1
274,"What are the given names, family names, and dates of birth of the directors of films?",opts,-1
275,What are the genres of films in Wikidata?,opts,-1
276,"What are the details of films in Wikidata, including title, IMDb ID, director, screenwriter, cast members, producer, composer, director of photography, film editor, duration, color, FSK film rating, country of origin, genre, original language, production company, and distributor?",opts,-1
277,What are the films and their cast members on Wikidata?,opts,-1
278,"What films have cast members, titles, and IMDb IDs in Wikidata?",opts,-1
279,What are the names of all films along with their durations when available?,opts,-1
280,What is the cost of making films on Wikidata?,opts,-1
281,"What are the instances of films in Wikidata, along with their IMDb ID, director, genre, cast members, and title?",opts,-1
282,What are the directors of films in Wikidata?,opts,-1
283,"What are the main subjects, publication dates, directors, cast members, screenwriters, producers, and characters of films?",opts,-1
284,"What are the names of female given names in Wikidata, along with any possible alternative names and the languages of these names?",opts,-1
285,What are the short names and UTC timezone offsets of all time zones?,opts,-1
286,"What are the administrative entities, population, capital city, area, and population of districts of Albania?",opts,-1
287,Which cities have airports with their corresponding IATA airport codes and coordinates listed in Wikidata?,opts,-1
288,"What are the countries that have airports and what are the corresponding IATA airport codes, if available?",opts,-1
289,What are the start and end times of the Crusades instances in Wikidata?,opts,-1
290,"What are some of the official websites, municipality codes, and dissolution dates of municipalities in Sweden?",opts,-1
291,"What are the countries, issues, points in time, and locations associated with the European Orienteering Championships?",opts,-1
292,"What are the details of United States executive orders, including the part it belongs to, signatory, jurisdiction it applies to, point in time, inception, main subject, and name?",opts,-1
293,"What scholarly articles have authors, titles, and publication dates?",opts,-1
294,What are the titles of scholarly articles in Wikidata?,opts,-1
295,What scholarly articles in Wikidata have an image associated with them?,opts,-1
296,What scholarly articles include information about the author's name?,opts,-1
297,What scholarly articles have a DOI?,opts,-1
298,What scholarly articles and their authors are available in Wikidata?,opts,-1
299,What are the scholarly articles with their authors and author names available in wikidata?,opts,-1
300,"Can you provide me with information about scholarly articles, including their PubMed ID, DOI, and PMC ID where available?",opts,-1
301,What are the municipalities with their coordinates in Wikidata?,opts,-1
302,What are the urban agglomerations and their corresponding coordinates?,opts,-1
303,"What are the taxon instances along with their parent taxon, taxon name, taxon common name, image, and taxon rank (if available)?",opts,-1
304,What are some instances of kinship in Wikidata and do they have any images associated with them?,opts,-1
305,"What plays are identified as creative works and books, and who are their authors?",opts,-1
306,"What are the instances of the entity ""Blade Runner"" in Wikidata?",opts,-1
307,What are the member states of the European Union and what are their capitals?,opts,-1
308,What are the instances and occupations of entities that are instances of PHY in Wikidata?,opts,-1
309,What are some main subjects of anime films on Wikidata?,opts,-1
310,"What are some Japanese television series that are originated from Japan, along with their corresponding information such as image, IMDb ID, AllMovie title ID, Freebase ID, image74, and MovieMeter film ID if available?",opts,-1
311,"What mass shootings occurred in 2018 and where did they take place, how many people died, and when did they happen?",opts,-1
312,"What are the instances of mass shootings with their corresponding coordinate locations, number of deaths, and point in time?",opts,-1
313,"What are the instances of persons who are part of the Department of Informatics, Computer Science and Methods of Teaching Informatics of Ryazan State University named for S.A. Yesenin, and are there any related instances of these persons?",opts,-1
314,"What are the municipalities in Germany with their postal codes, district information, German municipality keys, and coordinate locations, if available?",opts,-1
315,What are examples of Dutch municipal coat of arms and what jurisdictions do they apply to?,opts,-1
316,What are some optional details related to the profession of a specific entity?,opts,-1
317,What are the subclasses of automobile models and their corresponding instances?,opts,-1
318,"What are the automobile models and their corresponding countries, if available?",opts,-1
319,What are the public domain dates of paintings and do they have corresponding images available?,opts,-1
320,What paintings have an instance of and are optionally located in an administrative territorial entity and/or have an image?,opts,-1
321,"What are the genres, inception date, movement, country, location, title, countries involved, significant events, commissioner, dimensions, materials, depicted subjects, collections, exhibition history, locations of creation, and official website of paintings on Wikidata?",opts,-1
322,What paintings have inscriptions that apply to a specific part?,opts,-1
323,What are the creators of paintings in Wikidata?,opts,-1
324,What are the creators and movements of paintings in Wikidata?,opts,-1
325,What paintings have a coordinate location and an image in Wikidata?,opts,-1
326,What are the continents and official languages with ISO 639-3 codes of all sovereign states?,opts,-1
327,"Which sovereign states have information on their continent, official language with ISO 639-3 code, currency, and basic form of government available in Wikidata?",opts,-1
328,What are the rivers in Wikidata and do they have images available?,opts,-1
329,"What are the administrative territorial entities where salt mines are located, and what are their coordinate locations?",opts,-1
330,What Wikimedia categories have images associated with them?,opts,-1
331,"Which airlines have information on the items they operated, their country, IATA airline designator, ICAO airline designator, and callsign of the airline available on Wikidata?",opts,-1
332,"What are the constituencies of the National Assembly of Kenya along with their administrative territorial entities, inception dates, end times, and types?",opts,-1
333,What are the successful candidates and their corresponding votes received in United States presidential elections?,opts,-1
334,What association football clubs have a coordinate location and what country and league are they associated with (if available)?,opts,-1
335,What authors have a VIAF ID?,opts,-1
336,What are the performers of each album in Wikidata?,opts,-1
337,What are the publication dates of albums in Wikidata?,opts,-1
338,What businesses have an official website listed in Wikidata?,opts,-1
339,What are the businesses in the pharmaceutical industry?,opts,-1
340,What are some details about businesses within the pharmaceutical industry?,opts,-1
341,What businesses have an industry and optionally have a headquarters location and/or an inception date?,opts,-1
342,What are the official websites of businesses that have a parent organization?,opts,-1
343,What are the parent organizations of businesses on Wikidata and do they have official websites?,opts,-1
344,"What are the headquarters locations, inception dates, and industries of businesses in Wikidata?",opts,-1
345,What are the postal codes of the headquarters locations of businesses?,opts,-1
346,What are the names of the chief executive officers of businesses in Wikidata?,opts,-1
347,What is the net profit and total assets of businesses in Wikidata?,opts,-1
348,What are the human settlements with their coordinates available in Wikidata?,opts,-1
349,What cities are located in countries and what are their coordinates?,opts,-1
350,"What are the populations, areas, elevations above sea level, countries, and continents for cities?",opts,-1
351,What cities have a twinned administrative body and what is their population?,opts,-1
352,What are the twinned administrative bodies and populations of cities in Wikidata?,opts,-1
353,Which cities have a twinned administrative body and what country do they belong to?,opts,-1
354,Which cities have a twinned administrative body and in which countries are they located?,opts,-1
355,What cities have coordinates and what administrative territorial entities are they located in?,opts,-1
